Timestamp;Your Gender;Your Age;Are you currently....?;What is your annual income?;How often do you visit Starbucks?;How much time do you normally  spend during your visit?;Do you have Starbucks membership card?;What do you most frequently purchase at Starbucks?;On average, how much would you spend at Starbucks per visit?;How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:;How would you rate the price range at Starbucks?;How do you come to hear of promotions at Starbucks? Check all that apply.;Will you continue buying at Starbucks?
2019/10/01 12:38:43 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;Starbucks Website/Apps;
2019/10/01 12:38:54 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 12:38:56 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;3;In Store displays;
2019/10/01 12:39:08 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;2;1;Through friends and word of mouth;No
2019/10/01 12:39:20 PM GMT+8;Male;From 20 to 29;Student;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;No;Coffee;;;;;
2019/10/01 12:39:39 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Cold drinks;Less than RM20;4;3;Social Media;Yes
2019/10/01 12:39:42 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;5;5;Starbucks Website/Apps;
2019/10/01 12:40:58 PM GMT+8;Male;From 20 to 29;Employed;RM50,000 - RM100,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 12:42:27 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;More than RM40;5;4;Starbucks Website/Apps;
2019/10/01 12:43:36 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Around RM20 - RM40;4;3;Social Media;
2019/10/01 12:47:00 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;4;1;Social Media;Yes
2019/10/01 12:48:26 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;No;Coffee;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/01 12:49:25 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Weekly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/01 12:53:09 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;4;3;Social Media;Yes
2019/10/01 12:53:16 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;5;2;Social Media;
2019/10/01 12:57:31 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;4;1;Starbucks Website/Apps;No
2019/10/01 12:59:11 PM GMT+8;Male;From 30 to 39;Employed;RM50,000 - RM100,000;Monthly;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;3;Social Media;Yes
2019/10/01 1:08:15 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;4;4;Social Media;
2019/10/01 1:09:12 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;4;3;Starbucks Website/Apps;
2019/10/01 1:13:03 PM GMT+8;Female;From 20 to 29;Self-employed;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Cold drinks;Less than RM20;3;4;Emails;Yes
2019/10/01 1:13:45 PM GMT+8;Male;From 30 to 39;Employed;RM100,000 - RM150,000;Rarely;Below 30 minutes;Yes;Coffee;Around RM20 - RM40;2;2;Social Media;
2019/10/01 1:14:43 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;5;3;Social Media;Yes
2019/10/01 1:21:50 PM GMT+8;Male;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;More than 3 hours;No;Coffee;Less than RM20;5;2;Through friends and word of mouth;No
2019/10/01 1:24:04 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Monthly;Between 1 hour to 2 hours;Yes;Cold drinks;;;;;
2019/10/01 1:24:21 PM GMT+8;Male;40 and above;Self-employed;RM100,000 - RM150,000;Rarely;Between 1 hour to 2 hours;No;Coffee;;;;;
2019/10/01 1:25:56 PM GMT+8;Male;From 30 to 39;Employed;More than RM150,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 1:29:11 PM GMT+8;Male;From 30 to 39;Employed;More than RM150,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Application offer;No
2019/10/01 1:33:54 PM GMT+8;Male;From 20 to 29;Self-employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;Around RM20 - RM40;5;3;Social Media;Yes
2019/10/01 1:34:30 PM GMT+8;Male;40 and above;Self-employed;More than RM150,000;Weekly;Below 30 minutes;Yes;Coffee;More than RM40;4;5;Starbucks Website/Apps;
2019/10/01 1:37:27 PM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;5;5;Starbucks Website/Apps;
2019/10/01 1:39:16 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;;;;;
2019/10/01 1:40:23 PM GMT+8;Female;From 20 to 29;Employed;RM50,000 - RM100,000;Weekly;Below 30 minutes;Yes;Coffee;;;;;
2019/10/01 1:45:12 PM GMT+8;Female;From 30 to 39;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Coffee;Around RM20 - RM40;2;3;Social Media;Yes
2019/10/01 1:45:43 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Between 30 minutes to 1 hour;Yes;Coffee;Less than RM20;3;2;Social Media;No
2019/10/01 1:51:47 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;3;4;Social Media;
2019/10/01 1:51:56 PM GMT+8;Female;From 20 to 29;Student;Less than RM25,000;Rarely;Below 30 minutes;No;Coffee;Less than RM20;4;2;Social Media;No
2019/10/01 1:53:05 PM GMT+8;Female;From 20 to 29;Self-employed;Less than RM25,000;Rarely;Below 30 minutes;No;Cold drinks;Less than RM20;3;3;Social Media;Yes
2019/10/01 1:55:52 PM GMT+8;Male;Below 20;Student;Less than RM25,000;Rarely;Between 1 hour to 2 hours;No;Coffee;Less than RM20;5;2;Starbucks Website/Apps;
2019/10/01 1:57:01 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Rarely;Below 30 minutes;Yes;Cold drinks;;;;;
2019/10/01 2:00:32 PM GMT+8;Male;From 30 to 39;Employed;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Coffee;Less than RM20;3;2;Starbucks Website/Apps;
2019/10/01 2:03:08 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Never;Below 30 minutes;No;Coffee;Less than RM20;4;4;Social Media;Yes
2019/10/01 2:06:24 PM GMT+8;Male;From 20 to 29;Employed;Less than RM25,000;Monthly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;5;4;Starbucks Website/Apps;
2019/10/01 2:27:41 PM GMT+8;Female;From 20 to 29;Employed;RM25,000 - RM50,000;Weekly;Between 30 minutes to 1 hour;Yes;Coffee;Around RM20 - RM40;5;4;Social Media;Yes
2019/10/01 2:35:40 PM GMT+8;Female;From 20 to 29;Employed;Less than RM25,000;Monthly;Below 30 minutes;No;Coffee;;;;;
2019/10/01 2:41:01 PM GMT+8;Female;Below 20;Student;Less than RM25,000;Never;Below 30 minutes;No;Coffee;Zero;3;3;Social Media;Yes
2019/10/01 2:41:31 PM GMT+8;Female;From 30 to 39;Student;RM50,000 - RM100,000;Rarely;Below 30 minutes;Yes;Coffee;;;;;
